cpu_name;cores;cpu_mark;thread_mark;tdp;socket;category
AMD A10-7700K APU;2;3197;1433;95;FM2+;Desktop
AMD A10-7800 APU;2;3202;1464;65;FM2+;Desktop
AMD A10-7850K APU;2;3436;1513;95;FM2+;Desktop
AMD A10-7860K;2;3269;1493;65;FM2+;Desktop
AMD A10-7870K;2;3424;1497;95;FM2+;Desktop
AMD A10-7890K;2;3522;1566;95;FM2+;Desktop
AMD A10-8700P;2;2217;1134;35;FP4;Laptop
AMD A10-8750;2;3198;1506;65;FM2+;Desktop
AMD A10-8850;2;3438;1608;-1;Unknown;Desktop
AMD A10-9600P;4;2322;1142;15;FP4;Laptop
AMD A10-9620P;4;2568;1290;15;Unknown;Laptop
AMD A10-9630P;4;2909;1397;35;FP4;Laptop
AMD A10-9700;4;3534;1609;65;AM4;Desktop
AMD A10-9700E;4;3171;1449;35;AM4;Desktop
AMD A12-9700P;4;2440;1208;15;FP4;Laptop
AMD A12-9720P;4;2644;1315;15;FP4;Laptop
AMD A12-9730P;4;2989;1396;35;FP4;Laptop
AMD A12-9800;2;3583;1664;65;AM4;Desktop
AMD A12-9800E;4;3471;1617;35;AM4;Desktop
AMD A4 Micro-6400T APU;4;1082;540;-1;FT3b;Laptop
AMD A4 PRO-3340B;4;1645;676;25;BGA769 (FT3);Laptop
AMD A4 PRO-7300B APU;1;1477;1452;65;Unknown;Desktop
AMD A4 PRO-7350B;1;1544;1438;65;FM2+;Desktop
AMD A4-1200 APU;2;369;303;-1;FT3;Laptop
AMD A4-1250 APU;2;411;333;8;FT3;Laptop
AMD A4-3300 APU;2;962;992;65;FM1;Desktop
AMD A4-3300M APU;2;710;788;65;FM1;Laptop
AMD A4-3305M APU;2;729;822;35;FS1;Laptop
AMD A4-3310MX APU;2;782;832;45;FS1;Laptop
AMD A4-3320M APU;2;668;708;35;FS1;Laptop
AMD A4-3330MX APU;2;756;908;45;FS1 uPGA;Laptop
AMD A4-3400 APU;2;1081;1081;65;FM1;Desktop
AMD A4-3420 APU;2;1054;1113;65;FM1;Desktop
AMD A4-4000 APU;1;1149;1152;65;FM2;Desktop
AMD A4-4020 APU;2;1268;1220;65;FM2;Desktop
AMD A4-4300M APU;1;1000;1014;35;FS1;Laptop
AMD A4-4355M APU;2;806;813;17;FP2;Laptop
AMD A4-5000 APU;4;1294;507;15;FT3;Laptop
AMD A4-5050 APU;4;1328;538;-1;FT3;Laptop
AMD A4-5100 APU;4;1346;540;15;FT3;Laptop
AMD A4-5150M APU;2;765;800;35;FS1r2;Laptop
AMD A4-5300 APU;2;1364;1339;65;FM2;Desktop
AMD A4-5300B APU;2;1254;1256;65;FM2;Desktop
AMD A4-6210 APU;4;1495;610;15;FT3b;Laptop
AMD A4-6250J APU;4;1656;698;25;Unknown;Unknown
AMD A4-6300 APU;1;1432;1403;65;FM2;Desktop
AMD A4-6300B APU;1;1328;1373;65;Unknown;Desktop
AMD A4-6320 APU;1;1530;1529;65;FM2;Desktop
AMD A4-7210 APU;4;1666;726;25;BGA;Laptop
AMD A4-7300 APU;1;1528;1484;65;FM2;Desktop
AMD A4-9120;2;1219;1041;15;BGA;Laptop
AMD A4-9120C;2;830;909;6;FT4;Laptop
AMD A4-9120e;2;837;735;-1;FT4;Laptop
AMD A4-9125;2;1212;1046;15;BGA (FT4);Laptop
AMD A6 Micro-6500T APU;4;1146;630;-1;Unknown;Laptop
AMD A6 PRO-7050B APU;2;1009;875;17;FP3;Laptop
AMD A6 PRO-7400B;1;1663;1488;65;FM2+;Desktop
AMD A6-1450 APU;4;1045;458;8;FT3;Laptop
AMD A6-3400M APU;4;1190;690;35;FS1;Laptop
AMD A6-3410MX APU;4;1263;732;45;FS1;Laptop
AMD A6-3420M APU;4;1292;773;35;FS1;Laptop
AMD A6-3430MX APU;4;1448;822;45;FS1;Laptop
AMD A6-3500 APU;3;1417;964;65;FM1;Desktop
AMD A6-3600 APU;4;1645;897;65;FM1;Desktop
AMD A6-3620 APU;4;1851;985;65;FM1;Desktop
AMD A6-3650 APU;4;2049;1033;100;FM1;Desktop
AMD A6-3670 APU;4;2165;1144;100;FM1;Desktop
AMD A6-4400M APU;1;1007;1023;35;FS1r2;Laptop
AMD A6-4455M APU;1;793;786;17;FP2;Laptop
AMD A6-5200 APU;4;1662;664;25;FT3;Laptop
AMD A6-5345M APU;2;1122;1094;17;FP2;Laptop
AMD A6-5350M APU;2;1228;1249;35;FS1r2;Laptop
AMD A6-5357M APU;2;1165;1243;35;FP2;Laptop
AMD A6-5400B APU;1;1451;1399;65;FM2;Desktop
AMD A6-5400K APU;1;1262;1268;65;FM2;Desktop
AMD A6-6310 APU;4;1663;740;15;FT3;Laptop
AMD A6-6400B APU;1;1616;1608;65;FM2;Desktop
AMD A6-6400K APU;1;1476;1432;65;FM2;Desktop
AMD A6-6420B APU;1;1550;1629;65;FM2;Desktop
AMD A6-6420K APU;2;1576;1553;65;FM2;Desktop
AMD A6-7000;2;1010;857;17;FP3;Laptop
AMD A6-7310 APU;4;1727;774;25;Unknown;Laptop
AMD A6-7400K APU;2;1619;1430;65;FM2+;Desktop
AMD A6-7470K;1;1799;1576;65;FM2+;Desktop
AMD A6-7480;2;1836;1558;65;FM2+;Desktop
AMD A6-8500P;2;1445;1253;15;BGA (FP4);Laptop
AMD A6-8550;2;1604;1474;65;FM2+;Desktop
AMD A6-9200;2;1117;973;10;BGA;Laptop
AMD A6-9210;2;1238;1063;15;FP4;Laptop
AMD A6-9220;2;1264;1124;15;Unknown;Laptop
AMD A6-9220C;2;1053;995;6;FT4;Laptop
AMD A6-9220e;2;989;871;-1;Unknown;Laptop
AMD A6-9225;2;1324;1158;15;BGA (FT4);Laptop
AMD A6-9230;2;1303;1124;15;Unknown;Desktop
AMD A6-9400;2;2717;1664;10;FT4;Laptop
AMD A6-9500;2;1872;1627;65;AM4;Desktop
AMD A6-9500E;2;1756;1347;35;AM4;Desktop
AMD A8 PRO-7150B APU;4;1528;763;19;FP3;Laptop
AMD A8 PRO-7600B APU;4;2954;1388;65;FM2+;Desktop
AMD A8-3500M APU;4;1412;823;35;FS1;Laptop
AMD A8-3510MX APU;4;1614;890;45;FS1;Laptop
AMD A8-3520M APU;4;1448;845;35;FS1;Laptop
AMD A8-3530MX APU;4;1572;931;45;FS1;Laptop
AMD A8-3550MX APU;4;1687;962;45;FS1;Laptop
AMD A8-3800 APU;4;2015;1070;65;FM1;Desktop
AMD A8-3820 APU;4;2174;1131;65;FM1;Desktop
AMD A8-3850 APU;4;2368;1217;100;FM1;Desktop
AMD A8-3870K APU;4;2301;1206;100;FM1;Desktop
AMD A8-4500M APU;2;1675;916;35;FS1r2;Laptop
AMD A8-4555M APU;2;1335;787;19;FP2;Laptop
AMD A8-5500 APU;2;2603;1334;65;FM2;Desktop
AMD A8-5500B APU;2;2648;1340;65;FM2;Desktop
AMD A8-5545M APU;4;1546;822;19;FP2;Laptop
AMD A8-5550M APU;4;1868;1042;35;FS1r2;Laptop
AMD A8-5557M APU;4;1801;1037;35;FP2;Laptop
AMD A8-5600K APU;4;2845;1429;100;FM2;Desktop
AMD A8-6410 APU;4;1763;780;15;BGA769 (FT3b);Laptop
AMD A8-6500 APU;2;2804;1466;65;FM2;Desktop
AMD A8-6500B APU;2;2855;1488;65;FM2;Desktop
AMD A8-6500T APU;2;1929;1111;45;FM2;Desktop
AMD A8-6600K APU;2;3009;1537;100;FM2;Desktop
AMD A8-7050;2;1170;950;15;Unknown;Laptop
AMD A8-7100 APU;4;1641;844;19;FP3;Laptop
AMD A8-7200P;4;2154;1054;35;FP3;Laptop
AMD A8-7410 APU;4;1815;805;25;Unknown;Laptop
AMD A8-7500;2;3640;1492;65;FM2+;Desktop
AMD A8-7600 APU;2;3231;1453;65;FM2+;Desktop
AMD A8-7650K;2;3119;1401;65;FM2+;Desktop
AMD A8-7670K;4;3192;1485;95;FM2+;Desktop
AMD A8-7680;4;3532;1617;45;FM2+;Laptop
AMD A8-7690K;4;2157;1441;95;FM2+;Desktop
AMD A8-8600P;2;2240;1103;15;FP4;Laptop
AMD A8-8650;4;2996;1483;65;FM2+;Desktop
AMD A8-9600;4;3300;1486;65;AM4;Desktop
AMD A9-9400;2;1346;1219;10;FP4;Laptop
AMD A9-9410;2;1517;1337;25;FP4;Laptop
AMD A9-9420;2;1491;1283;15;Unknown;Laptop
AMD A9-9420e;2;1124;975;-1;Unknown;Laptop
AMD A9-9425;2;1505;1314;15;BGA (FT4);Laptop
AMD A9-9430;2;1658;1427;-1;Unknown;Desktop
AMD A9-9820;8;3870;797;-1;Unknown;Unknown
AMD Athlon 1500+;1;191;275;-1;Unknown;Unknown
AMD Athlon 1640B;1;412;462;45;AM2;Desktop
AMD Athlon 200GE;2;4109;1801;35;AM4;Desktop
AMD Athlon 220GE;2;4429;1961;35;AM4;Laptop
AMD Athlon 240GE;2;4534;1968;35;AM4;Desktop
AMD Athlon 2650e;1;274;304;15;AM2;Desktop
AMD Athlon 2800+;1;291;439;89;754;Unknown
AMD Athlon 2850e;1;333;337;22;AM2;Desktop
AMD Athlon 3000G;2;4487;1986;35;AM4;Desktop
AMD Athlon 300GE;2;4273;1869;35;AM4;Desktop
AMD Athlon 300U;2;3924;1796;15;FP5;Laptop
AMD Athlon 320GE;2;4388;1925;35;AM4;Desktop
AMD Athlon 5000 Dual-Core;2;872;898;65;AM2,AM2+;Desktop
AMD Athlon 5150 APU;4;1388;546;25;AM1,FS1b;Desktop
AMD Athlon 5200 Dual-Core;2;869;915;75;AM2;Desktop
AMD Athlon 5350 APU;4;1778;699;25;AM1,FS1B;Desktop
AMD Athlon 5370 APU;4;1867;755;25;AM1,FS1B;Desktop
AMD Athlon 64 2000+;1;154;173;8;Unknown;Unknown
AMD Athlon 64 2600+;1;243;292;15;Unknown;Unknown
AMD Athlon 64 2800+;1;295;375;89;754;Unknown
AMD Athlon 64 3000+;1;334;615;89;Socket 754;Desktop
AMD Athlon 64 3100+;1;484;600;89;754;Desktop
AMD Athlon 64 3200+;1;305;621;62;AM2;Unknown
AMD Athlon 64 3300+;1;375;477;-1;Unknown;Unknown
AMD Athlon 64 3400+;1;317;547;89;754;Unknown
AMD Athlon 64 3500+;1;396;568;45;AM2;Unknown
AMD Athlon 64 3700+;1;394;435;89;939;Desktop
AMD Athlon 64 3800+;1;292;461;45;AM2;Unknown
AMD Athlon 64 4000+;1;340;565;62;AM2;Unknown
AMD Athlon 64 FX-55;1;404;505;104;939;Desktop
AMD Athlon 64 FX-57;1;517;552;104;939;Desktop
AMD Athlon 64 FX-59;1;465;575;-1;939;Desktop
AMD Athlon 64 FX-60 Dual Core;2;709;912;110;939;Desktop
AMD Athlon 64 FX-62 Dual Core;2;993;1022;125;AM2;Desktop
AMD Athlon 64 FX-74;2;972;617;125;F (1207);Desktop
AMD Athlon 64 X2 3800+;2;566;745;89;939;Desktop
AMD Athlon 64 X2 Dual Core 3400+;2;531;505;89;754;Desktop
AMD Athlon 64 X2 Dual Core 3600+;2;622;658;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 3800+;2;636;726;89;AM2;Desktop
AMD Athlon 64 X2 Dual Core 4000+;2;686;734;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 4200+;2;689;782;89;AM2;Desktop
AMD Athlon 64 X2 Dual Core 4400+;2;677;766;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 4600+;2;720;835;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 4800+;2;679;876;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 5000+;2;776;892;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 5200+;2;840;930;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 5400+;2;907;999;65;AM2;Desktop
AMD Athlon 64 X2 Dual Core 5600+;2;907;1024;89;AM2;Desktop
AMD Athlon 64 X2 Dual Core 5800+;2;797;1008;89;Unknown;Desktop
AMD Athlon 64 X2 Dual Core 6000+;2;931;1034;89;AM2;Desktop
AMD Athlon 64 X2 Dual Core 6400+;2;998;1141;125;AM2;Desktop
AMD Athlon 64 X2 Dual Core BE-2300;2;594;624;45;AM2;Desktop
AMD Athlon 64 X2 Dual Core BE-2350;2;573;674;45;AM2;Desktop
AMD Athlon 64 X2 Dual-Core TK-42;2;577;537;20;Unknown;Unknown
AMD Athlon 64 X2 Dual-Core TK-53;2;558;602;31;Unknown;Unknown
AMD Athlon 64 X2 Dual-Core TK-55;2;518;609;35;Unknown;Unknown
AMD Athlon 64 X2 Dual-Core TK-57;2;620;626;31;Unknown;Unknown
AMD Athlon 64 X2 QL-60;2;612;647;35;S1;Laptop
AMD Athlon 64 X2 QL-62;2;525;623;35;S1;Laptop
AMD Athlon 64 X2 QL-64;2;617;728;35;S1;Laptop
AMD Athlon 64 X2 QL-65;2;651;697;35;S1;Laptop
AMD Athlon 64 X2 QL-66;2;641;751;35;S1;Laptop
AMD Athlon 64 X2 QL-67;2;582;515;35;S1;Laptop
AMD Athlon 7450 Dual-Core;2;789;853;95;AM2+;Desktop
AMD Athlon 7550 Dual-Core;2;900;934;95;AM2+;Desktop
AMD Athlon 7750 Dual-Core;2;978;1037;95;AM2+;Desktop
AMD Athlon 7850 Dual-Core;2;1058;1118;95;AM2+;Desktop
AMD Athlon Dual Core 4050e;2;674;751;45;AM2;Desktop
AMD Athlon Dual Core 4450B;2;719;798;45;AM2+;Desktop
AMD Athlon Dual Core 4450e;2;705;801;45;AM2;Desktop
AMD Athlon Dual Core 4850B;2;727;887;45;AM2+;Desktop
AMD Athlon Dual Core 4850e;2;783;903;45;AM2;Desktop
AMD Athlon Dual Core 5000B;2;856;942;65;AM2;Desktop
AMD Athlon Dual Core 5050e;2;809;904;45;AM2;Desktop
AMD Athlon Dual Core 5200B;2;823;966;65;AM2;Desktop
AMD Athlon Dual Core 5400B;2;914;985;65;AM2;Desktop
AMD Athlon Dual Core 5600B;2;737;1003;65;AM2+;Desktop
AMD Athlon Gold 3150C;2;3292;1706;15;FP5;Laptop, Mobile/Embedded
AMD Athlon Gold 3150G;4;7112;2265;65;AM4;Desktop
AMD Athlon Gold 3150U;2;4014;1770;15;FP5;Laptop
AMD Athlon Gold 7220U;2;4780;2169;15;FP6;Laptop
AMD Athlon Gold PRO 3150G;4;7702;2321;65;AM4;Desktop
AMD Athlon Gold PRO 3150GE;4;7006;2165;35;AM4;Desktop
AMD Athlon Gold PRO 4150GE;4;8259;2384;35;FP6;Laptop
AMD Athlon II 160u;1;358;717;20;Unknown;Desktop
AMD Athlon II 170u;1;340;719;20;AM2+,AM3;Desktop
AMD Athlon II Dual-Core M300;2;670;776;35;Unknown;Unknown
AMD Athlon II Dual-Core M320;2;743;850;35;Unknown;Unknown
AMD Athlon II Dual-Core M340;2;807;858;35;Unknown;Unknown
AMD Athlon II N330 Dual-Core;2;665;813;35;Unknown;Unknown
AMD Athlon II N350 Dual-Core;2;767;945;35;Unknown;Unknown
AMD Athlon II N370 Dual-Core;2;899;913;35;S1g4;Unknown
AMD Athlon II Neo K125;1;315;616;12;S1;Laptop
AMD Athlon II Neo K145;1;298;592;12;S1;Laptop
AMD Athlon II Neo K325 Dual-Core;2;417;486;12;Unknown;Laptop
AMD Athlon II Neo K345 Dual-Core;2;527;552;12;Unknown;Laptop
AMD Athlon II Neo N36L Dual-Core;2;487;524;12;Unknown;Laptop
AMD Athlon II P320 Dual-Core;2;694;819;25;Unknown;Unknown
AMD Athlon II P340 Dual-Core;2;691;837;25;S1g4;Unknown
AMD Athlon II P360 Dual-Core;2;728;864;25;S1g4;Unknown
AMD Athlon II X2 210e;2;1105;1105;45;AM3;Desktop
AMD Athlon II X2 215;2;961;1031;65;AM3;Desktop
AMD Athlon II X2 220;2;1030;1090;65;AM3;Desktop
AMD Athlon II X2 235e;2;1080;1109;45;AM3;Desktop
AMD Athlon II X2 240;2;1032;1075;65;AM3;Desktop
AMD Athlon II X2 240e;2;1002;1100;45;AM3;Desktop
AMD Athlon II X2 245;2;1097;1145;65;AM2+/AM3;Desktop
AMD Athlon II X2 245e;2;1171;1182;45;AM3;Desktop
AMD Athlon II X2 250;2;1139;1179;65;AM3;Desktop
AMD Athlon II X2 250e;2;1155;1201;45;AM3;Desktop
AMD Athlon II X2 250u;2;597;638;25;AM3;Desktop
AMD Athlon II X2 255;2;1170;1234;65;AM3;Desktop
AMD Athlon II X2 260;2;1141;1241;65;AM3;Desktop
AMD Athlon II X2 260u;2;713;716;25;AM3;Desktop
AMD Athlon II X2 265;2;1265;1352;65;AM3;Desktop
AMD Athlon II X2 270;2;1289;1357;65;AM3;Desktop
AMD Athlon II X2 270u;2;675;791;25;AM3;Desktop
AMD Athlon II X2 280;2;1355;1462;65;AM3;Unknown
AMD Athlon II X2 4300e;2;990;1074;13;Unknown;Unknown
AMD Athlon II X2 4400e;2;978;1069;37;Unknown;Unknown
AMD Athlon II X2 4450e;2;867;1066;45;AM2;Desktop
AMD Athlon II X2 B22;2;1053;1129;65;AM3;Desktop
AMD Athlon II X2 B24;2;1120;1205;65;AM3;Desktop
AMD Athlon II X2 B26;2;1193;1251;65;Unknown;Unknown
AMD Athlon II X2 B28;2;1274;1362;65;AM3;Desktop
AMD Athlon II X3 400e;3;1320;908;45;AM3;Desktop
AMD Athlon II X3 405e;3;1331;973;45;AM3;Desktop
AMD Athlon II X3 415e;3;1441;1028;45;AM3;Desktop
AMD Athlon II X3 420e;3;1557;1058;45;AM3;Desktop
AMD Athlon II X3 425;3;1561;1081;95;AM3;Desktop
AMD Athlon II X3 435;3;1644;1171;95;AM3;Desktop
AMD Athlon II X3 440;3;1712;1194;95;AM3;Desktop
AMD Athlon II X3 445;3;1823;1274;95;AM3;Desktop
AMD Athlon II X3 450;3;1822;1297;95;AM3;Desktop
AMD Athlon II X3 455;3;1856;1332;95;AM3;Desktop
AMD Athlon II X3 460;3;1985;1393;95;AM3;Desktop
AMD Athlon II X4 553;4;2418;1204;-1;Unknown;Unknown
AMD Athlon II X4 555;4;2498;1251;-1;Unknown;Unknown
AMD Athlon II X4 557;4;2567;1345;160;AM3;Desktop
AMD Athlon II X4 559;4;2602;1399;-1;Unknown;Unknown
AMD Athlon II X4 600e;4;1795;913;45;AM3;Desktop
AMD Athlon II X4 605e;4;1963;986;45;AM3;Desktop
AMD Athlon II X4 610e;4;1882;999;45;AM3;Desktop
AMD Athlon II X4 615e;4;2000;1037;45;AM3;Desktop
AMD Athlon II X4 620;4;2003;1062;95;AM3;Desktop
AMD Athlon II X4 630;4;2147;1133;95;AM3;Desktop
AMD Athlon II X4 631 Quad-Core;4;2150;1120;100;FM1;Desktop
AMD Athlon II X4 635;4;2206;1156;95;AM3;Desktop
AMD Athlon II X4 638 Quad-Core;4;2250;1163;65;FM1;Desktop
AMD Athlon II X4 640;4;2234;1212;95;AM3;Desktop
AMD Athlon II X4 641 Quad-Core;4;2313;1189;100;FM1;Desktop
AMD Athlon II X4 645;4;2332;1258;95;AM3;Desktop
AMD Athlon II X4 650;4;2409;1307;95;Unknown;Unknown
AMD Athlon II X4 651 Quad-Core;4;2530;1294;100;FM1;Unknown
AMD Athlon II X4 655;4;2078;1473;95;AM2+ (940-pin);Unknown
AMD Athlon L110;1;197;223;13;Unknown;Unknown
AMD Athlon LE-1600;1;412;430;45;AM2;Desktop
AMD Athlon LE-1620;1;421;475;45;AM2;Desktop
AMD Athlon LE-1640;1;430;489;45;AM2;Desktop
AMD Athlon LE-1660;1;416;428;45;AM2;Desktop
AMD Athlon Neo MV-40;1;275;485;15;Unknown;Unknown
AMD Athlon Neo X2 Dual Core 6850e;2;456;566;22;Unknown;Unknown
AMD Athlon Neo X2 Dual Core L325;2;556;567;18;Unknown;Unknown
AMD Athlon Neo X2 Dual Core L335;2;529;570;18;Unknown;Unknown
AMD Athlon PRO 200GE;2;3926;1838;35;AM4;Desktop
AMD Athlon PRO 300GE;2;4423;1927;35;AM4;Desktop
AMD Athlon PRO 300U;2;4080;1931;15;FP5;Laptop
AMD Athlon PRO 3045B;2;2618;1493;15;FP5;Laptop
AMD Athlon Silver 3050C;2;2879;1809;15;FP5;Laptop
AMD Athlon Silver 3050e;2;3025;1471;6;Unknown;Laptop
AMD Athlon Silver 3050GE;2;4545;2016;35;AM4;Laptop
AMD Athlon Silver 3050U;2;3002;1706;15;FP5;Laptop
AMD Athlon Silver 7120U;2;3100;1911;15;FP6;Laptop
AMD Athlon Silver PRO 3125GE;2;4633;2074;35;AM4;Desktop
AMD Athlon TF-20;1;265;454;15;Unknown;Unknown
AMD Athlon TF-36;1;338;349;25;Unknown;Unknown
AMD Athlon X2 215;2;996;1107;65;Unknown;Unknown
AMD Athlon X2 240;2;921;1017;65;Unknown;Unknown
AMD Athlon X2 240e;2;1015;1092;45;Unknown;Unknown
AMD Athlon X2 250;2;855;1099;65;Unknown;Unknown
AMD Athlon X2 255;2;938;1095;65;AM2+/AM3;Unknown
AMD Athlon X2 280;2;1327;1258;65;AM3;Unknown
AMD Athlon X2 340 Dual Core;2;1307;1296;65;FM2;Desktop
AMD Athlon X2 370K Dual Core;1;1504;1514;65;Unknown;Unknown
AMD Athlon X2 450;2;1295;878;65;FM2+;Desktop
AMD Athlon X2 Dual Core 3250e;2;357;458;22;Unknown;Unknown
AMD Athlon X2 Dual Core 6850e;2;564;623;22;Unknown;Unknown
AMD Athlon X2 Dual Core BE-2300;2;570;644;45;AM2;Desktop
AMD Athlon X2 Dual Core BE-2350;2;591;705;45;AM2;Desktop
AMD Athlon X2 Dual Core BE-2400;2;674;749;18;FT1;Desktop
AMD Athlon X2 Dual Core L310;2;309;387;13;S1;Laptop
AMD Athlon X3 425;3;1516;845;95;Unknown;Unknown
AMD Athlon X3 435;3;1781;1192;95;Unknown;Unknown
AMD Athlon X3 440;3;1438;1129;95;Unknown;Unknown
AMD Athlon X3 445;3;1626;1270;95;Unknown;Unknown
AMD Athlon X3 455;3;1783;1227;95;AM2+/AM3;Unknown
AMD Athlon X4 530;4;1786;690;25;AM1;Desktop
AMD Athlon X4 620;4;1810;1033;95;Unknown;Unknown
AMD Athlon X4 640;4;2115;1224;95;Unknown;Unknown
AMD Athlon X4 730;2;2278;937;65;FM2;Desktop
AMD Athlon X4 740 Quad Core;2;2646;1360;65;FM2;Desktop
AMD Athlon X4 750 Quad Core;4;2625;1497;65;FM2;Desktop
AMD Athlon X4 750K Quad Core;2;2859;1465;100;FM2;Unknown
AMD Athlon X4 760K Quad Core;2;2948;1527;100;FM2;Desktop
AMD Athlon X4 830;2;2901;1292;65;FM2+;Desktop
AMD Athlon X4 840;2;3315;1488;65;FM2+;Desktop
AMD Athlon X4 845;2;3811;1685;65;FM2+;Desktop
AMD Athlon X4 850;4;3366;1575;65;FM2+;Unknown
AMD Athlon X4 860K;2;3414;1523;95;FM2+;Desktop
AMD Athlon X4 870K;2;3399;1553;95;FM2+;Desktop
AMD Athlon X4 880K;2;3659;1633;95;FM2+;Desktop
AMD Athlon X4 950;4;3588;1640;65;AM4;Desktop
AMD Athlon X4 970;4;3811;1700;65;AM4;Desktop
AMD Athlon XP 1500+;1;167;251;-1;Unknown;Unknown
AMD Athlon XP 1600+;1;174;265;-1;Unknown;Unknown
AMD Athlon XP 1700+;1;176;272;64;Socket A (462);Desktop
AMD Athlon XP 1800+;1;195;301;66;Socket A;Desktop
AMD Athlon XP 1900+;1;203;312;-1;Unknown;Unknown
AMD Athlon XP 2000+;1;195;311;70;Socket A;Desktop
AMD Athlon XP 2100+;1;210;327;-1;Unknown;Unknown
AMD Athlon XP 2200+;1;214;335;-1;Unknown;Unknown
AMD Athlon XP 2400+;1;234;375;-1;Unknown;Unknown
AMD Athlon XP 2500+;1;231;353;-1;Unknown;Unknown
AMD Athlon XP 2600+;1;242;380;-1;Unknown;Unknown
AMD Athlon XP 2700+;1;256;398;-1;Unknown;Unknown
AMD Athlon XP 2800+;1;260;408;89;754;Unknown
AMD Athlon XP 2900+;1;276;410;-1;Unknown;Unknown
AMD Athlon XP 3000+;1;262;396;62;Socket A;Desktop
AMD Athlon XP 3100+;1;282;431;-1;Unknown;Unknown
AMD Athlon XP 3200+;1;281;430;62;AM2;Unknown
AMD Athlon XP1600+;1;183;272;-1;Unknown;Unknown
AMD Athlon XP2400+;1;243;390;-1;Unknown;Unknown
AMD Athlon64 X2 Dual Core 4600+;2;803;755;110;AM2;Desktop
AMD C-30;1;178;375;9;FT1;Laptop
AMD C-50;2;265;312;9;FT1;Laptop
AMD C-60;2;290;354;9;Unknown;Unknown
AMD C-60 APU;2;312;355;9;Unknown;Unknown
AMD C-70 APU;2;315;364;9;Unknown;Unknown
AMD E-240;1;195;403;18;FT1;Laptop
AMD E-300 APU;2;338;394;18;FT1;Laptop
AMD E-350;2;420;485;18;FT1;Desktop, Laptop
AMD E-350 APU;2;423;490;18;FT1 BGA;Desktop, Laptop
AMD E-350D APU;2;486;523;18;Unknown;Unknown
AMD E-450 APU;2;434;498;18;FT1;Laptop
AMD E1 Micro-6200T APU;2;600;498;-1;FT3b;Laptop
AMD E1-1200 APU;2;380;431;18;FT1;Laptop
AMD E1-1500 APU;2;398;458;18;FT1;Laptop
AMD E1-2100 APU;2;399;322;9;FT3;Laptop
AMD E1-2200 APU;2;474;368;9;FT3;Laptop
AMD E1-2500 APU;2;593;458;15;FT3;Laptop
AMD E1-6010 APU;2;534;425;10;FT3b;Laptop
AMD E1-6015 APU;2;577;449;-1;BGA769 (FT3b);Laptop
AMD E1-6050J APU;2;1385;787;10;Unknown;Unknown
AMD E1-7010 APU;2;597;486;10;BGA769 (FT3b);Laptop
AMD E2-1800 APU;2;446;524;18;FT1;Desktop
